ProductID,LocationID,Location Name,Product Name,Product Barcode,Product Description,Product Order Code,Sale Price,Category Name,Current Stock,Min Stock,Max Stock,Current Volume,On Order,Alerts,Cost Price, Supplier Name,Unit of Sale,Volume of Sale,Unit of Purchase,Volume of Purchase
3585865,17288,Markham House,Winter Tree Wash 500ml,5012042010508,Vitax Winter Tree Wash 500ml,D49485,8.50000,PESTICIDES,,,,,,n,5.51700,,,,,
3585866,10028,WRHS Trading Post Main Store,Vitax Yellow Sulphur 225g,5012042232252,Vitax Yellow Sulphur 225g,D22490,3.15000,GENERAL FEEDS,8.00000,0.00000,0.00000,0,0,n,2.03400,,,,,
3585866,17288,Markham House,Vitax Yellow Sulphur 225g,5012042232252,Vitax Yellow Sulphur 225g,D22490,3.15000,GENERAL FEEDS,,,,,,n,2.03400,,,,,
3585891,10028,WRHS Trading Post Main Store,Fibre Pot 5cm square x36,5012351040043,Vitapot Fibre Pot 5cm square pack of 36,D63676,2.15000,FLOWER POTS FIBRE,1.00000,0.00000,0.00000,0,0,n,1.37900,,,,,
3585891,17288,Markham House,Fibre Pot 5cm square x36,5012351040043,Vitapot Fibre Pot 5cm square pack of 36,D63676,2.15000,FLOWER POTS FIBRE,,,,,,n,1.37900,,,,,
3585875,10028,WRHS Trading Post Main Store,Flower Pot 3 litre hard black,FP010#800000000021,Flower Pot 3 litre hard black,,0.25000,FLOWER POTS PLASTIC,386.00000,0.00000,0.00000,0,0,n,0.15100,,,,,
3585875,17288,Markham House,Flower Pot 3 litre hard black,FP010#800000000021,Flower Pot 3 litre hard black,,0.25000,FLOWER POTS PLASTIC,,,,,,n,0.15100,,,,,
3585882,10028,WRHS Trading Post Main Store,Flower Pot 9cm hard red,FP008#5012079555522,Flower Pot 9cm hard red,,0.15000,FLOWER POTS PLASTIC,0.00000,0.00000,0.00000,0,0,n,0.04900,,,,,
3585882,17288,Markham House,Flower Pot 9cm hard red,FP008#5012079555522,Flower Pot 9cm hard red,,0.15000,FLOWER POTS PLASTIC,,,,,,n,0.04900,,,,,
3585889,10028,WRHS Trading Post Main Store,Fibre Pot 7cm round x16,5012351040067,Vitapots Fibre Pot 7cm round pack of 16,,2.60000,FLOWER POTS FIBRE,4.00000,0.00000,0.00000,0,0,n,1.69000,,,,,
3585889,17288,Markham House,Fibre Pot 7cm round x16,5012351040067,Vitapots Fibre Pot 7cm round pack of 16,,2.60000,FLOWER POTS FIBRE,,,,,,n,1.69000,,,,,
3585991,10028,WRHS Trading Post Main Store,Incinerator & Lid,800000000104,Incinerator & Lid,,17.00000,EX TOOLS & EQUIPMENT,0.00000,0.00000,0.00000,0,0,n,11.03400,,,,,
3585991,17288,Markham House,Incinerator & Lid,800000000104,Incinerator & Lid,,17.00000,EX TOOLS & EQUIPMENT,,,,,,n,11.03400,,,,,
3585997,10028,WRHS Trading Post Main Store,Hozelock 2100 Hose Repair,5010646005135,Hozelock 2100 Hose Repair Connector 12.5-15Mm,,2.50000,HOSE FITTINGS,10.00000,0.00000,0.00000,0,0,n,1.62100,,,,,
3585997,17288,Markham House,Hozelock 2100 Hose Repair,5010646005135,Hozelock 2100 Hose Repair Connector 12.5-15Mm,,2.50000,HOSE FITTINGS,,,,,,n,1.62100,,,,,
3585998,10028,WRHS Trading Post Main Store,Threaded Tap Connector - Hozelock,5010646005050,Hozelock 2175 Threaded Tap Connector 26.5mm,,3.45000,HOSE FITTINGS,0.00000,0.00000,0.00000,0,0,n,2.24100,,,,,
3585998,17288,Markham House,Threaded Tap Connector - Hozelock,5010646005050,Hozelock 2175 Threaded Tap Connector 26.5mm,,3.45000,HOSE FITTINGS,,,,,,n,2.24100,,,,,
3586004,10028,WRHS Trading Post Main Store,Hozelock Double Male Connect,5010646005203,Hozelock Double Male Connector,,2.50000,HOSE FITTINGS,3.00000,0.00000,0.00000,0,0,n,1.62100,,,,,
3586004,17288,Markham House,Hozelock Double Male Connect,5010646005203,Hozelock Double Male Connector,,2.50000,HOSE FITTINGS,,,,,,n,1.62100,,,,,
3586026,10028,WRHS Trading Post Main Store,Maxicrop Take Root Liq 300ml,5013762000442,Maxicrop Take Root Liquid 300ml,D50742,2.95000,TREATMENTS,3.00000,0.00000,0.00000,0,0,n,1.89700,,,,,
