productid,category,page,image,show,info
3585898,SEEDS FLOWER,"Seed, flower",pics/seedf/MyosotisBlueBall.png,1,Dwarf Compact Rich blue
7042743,SEEDS FLOWER,"Seed, flower",pics/seedf/NasturtiumJewelMixed.png,1,Nasturtium Jewel Mixed
7042744,SEEDS FLOWER,"Seed, flower",pics/seedf/NasturtiumTomThumbMixed.png,1,Nasturtium Tom Thumb Mixed
3585903,SEEDS FLOWER,"Seed, flower",pics/seedf/NemesiaCarnivalMixture.png,1,Compact dwarf Large flowers Bright colours
7042745,SEEDS FLOWER,"Seed, flower",pics/seedf/NicotianaPerfumeMixedF1.png,1,Nicotiana Perfume Mixed F1
3585947,SEEDS FLOWER,"Seed, flower",pics/seedf/NicotianaSensationMixed.png,1,Wide colour range Medium tall
7042746,SEEDS FLOWER,"Seed, flower",pics/seedf/NicotianaWhispersMixed.png,1,Nicotiana Whispers Mixed
7042747,SEEDS FLOWER,"Seed, flower",pics/seedf/NigellaDelftBlue.png,1,Nigella Delft Blue
3585961,SEEDS FLOWER,"Seed, flower",pics/seedf/NigellaPersianJewels.png,1,Large flowers Erect stems Good cut flowers
3585954,SEEDS FLOWER,"Seed, flower",pics/seedf/PansyClearCrystalMixed.png,1,Compact habit Free flowering
8635946,SEEDS FLOWER,"Seed, flower",pics/seedf/PansyForerunnerMixed.png,1,Pansy Forerunner mixed
3585955,SEEDS FLOWER,"Seed, flower",pics/seedf/PansyFreefallPurpleWingsF1.png,1,Trailing habit Vigorous For baskets and tubs
8635998,SEEDS FLOWER,"Seed, flower",pics/seedf/PansyWinterFloweringMixed.png,1,Pansy Winter Flowering mixed
3585971,SEEDS FLOWER,"Seed, flower",pics/seedf/PapaverRhoeasShirleyDoubleMixed.png,1,Large double blooms.Wide colour range. Good cut flower
3585958,SEEDS FLOWER,"Seed, flower",pics/seedf/PenstemonTubularBellsRed.png,1,Penstermon Tubular Bells Red
3585906,SEEDS FLOWER,"Seed, flower",pics/seedf/PetuniaCascadeMixedF1.png,1,Dwarf spreading habit Large flowers Ideal for  tubs & walls
3585945,SEEDS FLOWER,"Seed, flower",pics/seedf/PetuniaMerlinF1Mixed.png,1,Large flowered dwarf Free flowering Good in hanging baskets
3585922,SEEDS FLOWER,"Seed, flower",pics/seedf/PhloxDwarfTwinklesMixed.png,1,Phlox Dwarf Twinkles Mixed
3585950,SEEDS FLOWER,"Seed, flower",pics/seedf/PolyanthusPacificGiants.png,1,Polyanthus Pacific Giants F1
7042751,SEEDS FLOWER,"Seed, flower",pics/seedf/PoppyBlackPeony.png,1,Poppy Black Peony
7042752,SEEDS FLOWER,"Seed, flower",pics/seedf/PoppyCoralReef.png,1,Poppy Coral Reef
7042753,SEEDS FLOWER,"Seed, flower",pics/seedf/PoppyIcelandGiant.png,1,Poppy Iceland Giant
7042760,SEEDS FLOWER,"Seed, flower",pics/seedf/RudbeckiaCherryBrandy.png,1,Rudbeckia Cherry Brandy
7042761,SEEDS FLOWER,"Seed, flower",pics/seedf/RudbeckiaHirtaKelvedonStar.png,1,Rudbeckia Hirta Kelvedon Star
3585943,SEEDS FLOWER,"Seed, flower",pics/seedf/RudbeckiaMarmalade.png,1,Large orange flowers Long flowering season
3585970,SEEDS FLOWER,"Seed, flower",pics/seedf/RudbeckiaRusticDwarfsMixed.png,1,Large flowers Strong stems Excellent colour range
3585893,SEEDS FLOWER,"Seed, flower",pics/seedf/StaticeArtShadesMixed.png,1,Statice Art Shades Mixed
7042769,SEEDS FLOWER,"Seed, flower",pics/seedf/StockBromptonMixed.png,1,Stock Brompton Mixed
7042770,SEEDS FLOWER,"Seed, flower",pics/seedf/StockDwarfTenWeekMixed.png,1,Stock Ten Week Dwarf Mixed
3585948,SEEDS FLOWER,"Seed, flower",pics/seedf/StockNightScented.png,1,Sweet scented Flowers Jul-Aug
3585978,SEEDS FLOWER,"Seed, flower",pics/seedf/StockVirginianMixed.png,1,Sweet scented annual Ideal for wild gardens
3585928,SEEDS FLOWER,"Seed, flower",pics/seedf/SunflowerGiantSingle.png,1,Sunflower Giant Single
9033393,SEEDS FLOWER,"Seed, flower",pics/seedf/SunflowerMusicBox.png,1,Sunflower Vanilla Ice
9033394,SEEDS FLOWER,"Seed, flower",pics/seedf/SunflowerMusicBox.png,1,Sunflower Music Box
3585894,SEEDS FLOWER,"Seed, flower",pics/seedf/SweetWilliamAuriculaMixed.png,1,Each flower has a distinctive eye colour  Ideal early bedding
7042774,SEEDS FLOWER,"Seed, flower",pics/seedf/SweetWilliamCrownDoubleMixed.png,1,Sweet William Crown Double Mixed
3585977,SEEDS FLOWER,"Seed, flower",pics/seedf/TagetesStarfireMixed.png,1,Wide colour range
3585899,SEEDS FLOWER,"Seed, flower",pics/seedf/VerbenaBonariensis.png,1,Clump forming perennial Small lilac florets Tall slim stems Flowers July-Sept
3585941,SEEDS FLOWER,"Seed, flower",pics/seedf/VerbenaMammothHybrids.png,1,Verbena Mammoth Hybrids
7042776,SEEDS FLOWER,"Seed, flower",pics/seedf/VerbenaTuscanyPastelShades.png,1,Verbena Tuscany Pastel Shades
3585909,SEEDS FLOWER,"Seed, flower",pics/seedf/WallflowerClothofGold.png,1,Rich yellow
3585960,SEEDS FLOWER,"Seed, flower",pics/seedf/WallflowerPersianCarpetMixed.png,1,Selected lighter shades
5854972,SEEDS FLOWER,"Seed, flower",pics/seedf/WallflowerTomThumbMixed.png,1,Very dwarf Strong growth
3585989,SEEDS FLOWER,"Seed, flower",pics/seedf/WallflowerWildCheiranthusCheiri.png,1,Wild Wallflower Cheiranthus Cheiri
9033395,SEEDS FLOWER,"Seed, flower",pics/seedf/WildFlowerMixCornfield.png,1,Wild Flower Mix Cornfield Flowers
9033396,SEEDS FLOWER,"Seed, flower",pics/seedf/WildflowerMixFieldHedgerow.png,1,Wild Flower Mix Field & Hedgerow Mix
3585910,DISCONTINUED,,pics/seedf/WildflowersCornfieldAnnualMixture.png,0,"Corn Chamomile Corn Cockle, Cornflower Corn Marigold Corn Poppy"
3585916,SEEDS FLOWER,"Seed, flower",pics/seedf/ZinniaDahliaFloweredMixed.png,1,Large flat-petalled semi-double flowers Good colour range
3586172,SEEDS HERB,"Seeds, herb",pics/seedh/BalmLemon.png,1,Balm
3586174,SEEDS HERB,"Seeds, herb",pics/seedh/BasilClassicItalian.png,1,Ocimum Basilicum
7042736,SEEDS HERB,"Seeds, herb",pics/seedh/BasilClassicItalian.png,1,Basil Classic Italian
3586175,SEEDS HERB,"Seeds, herb",pics/seedh/BasilGreek.png,1,Basil Greek
3586173,SEEDS HERB,"Seeds, herb",pics/seedh/BasilPurple.png,1,Ocimum basilicum purpureum
3586268,SEEDS HERB,"Seeds, herb",pics/seedh/BasilSweet.png,1,Basil Sweet
3586177,SEEDS HERB,"Seeds, herb",pics/seedh/Bergamot.png,1,Bergamont
7042578,SEEDS HERB,"Seeds, herb",pics/seedh/Borage.png,1,Borage
3586178,SEEDS HERB,"Seeds, herb",pics/seedh/CatmintNepetaMussinii.png,1,Mussinii (Catnip  or Catnep)
3586179,SEEDS HERB,"Seeds, herb",pics/seedh/ChamomileAnnual.png,1,Annual
7042725,SEEDS HERB,"Seeds, herb",pics/seedh/ChamomileLawn.png,1,Chamomile Lawn
3586180,SEEDS HERB,"Seeds, herb",pics/seedh/ChervilAnthriscusCerefolium.png,1,Chervil
3586181,SEEDS HERB,"Seeds, herb",pics/seedh/ChivesAlliumSchoenoprasum.png,1,Mild onion flavour
3586182,SEEDS HERB,"Seeds, herb",pics/seedh/ChivesPerennial.png,1,Mild onion flavour
3586183,SEEDS HERB,"Seeds, herb",pics/seedh/CorianderCilantro.png,1,Use leaves in salads Yields aromatic seeds
3586184,SEEDS HERB,"Seeds, herb",pics/seedh/DillAnnual.png,1,Dill
3586185,SEEDS HERB,"Seeds, herb",pics/seedh/FennelBronze.png,1,Fennel Bronze
3586189,SEEDS HERB,"Seeds, herb",pics/seedh/Hyssop.png,1,Hyssop
3586191,SEEDS HERB,"Seeds, herb",pics/seedh/LavandulaAngustifoliaMunsteadDwarf.png,1,Lavender Munstead
3586190,SEEDS HERB,"Seeds, herb",pics/seedh/LavenderVera.png,1,Lavender Vera
3586200,SEEDS HERB,"Seeds, herb",pics/seedh/MarjoramPot.png,1,Pot Marjoram
3586204,SEEDS HERB,"Seeds, herb",pics/seedh/MarjoramSweetPerennial.png,1,Perennial
3586196,SEEDS HERB,"Seeds, herb",pics/seedh/OreganoGreek.png,1,Oregano
7042737,SEEDS HERB,"Seeds, herb",pics/seedh/ParsleyAfrodite.png,1,Parsley Afrodite
3586201,SEEDS HERB,"Seeds, herb",pics/seedh/Purslane.png,1,Purslane
